user_id,system_a_access,system_b_access,system_c_access
USER001,maker,maker,read-only
USER002,checker,maker,maker
USER003,maker,maker,checker
USER004,maker,maker,maker
USER005,checker,maker,checker
USER006,read-only,read-only,maker
USER007,maker,checker,maker
USER008,checker,maker,read-only
USER009,checker,checker,read-only
USER010,maker,read-only,maker
USER021,maker,read-only,checker
USER012,read-only,maker,maker
USER013,maker,maker,checker
USER014,checker,checker,read-only
USER022,read-only,maker,maker
USER016,maker,maker,checker
USER017,maker,maker,read-only
USER018,read-only,read-only,maker
USER023,maker,checker,read-only
USER024,checker,maker,maker
